# Tweet ID, Likes, Seconds, Followers
1.310787931032805376e+18,7.280000000000000000e+02,1.359587639856338501e+04,1.297050000000000000e+05
1.310831675643961344e+18,2.560000000000000000e+02,3.166767844438552856e+03,1.659934000000000000e+06
1.310809043368280064e+18,6.009000000000000000e+03,8.563706882238388062e+03,2.333817200000000000e+07
1.310833688951705600e+18,2.293000000000000000e+03,2.688622624874114990e+03,2.320323500000000000e+07
1.310829213402841088e+18,4.000000000000000000e+00,3.756515181779861450e+03,2.640000000000000000e+02
1.310829506282704896e+18,9.000000000000000000e+00,3.688400201797485352e+03,8.790000000000000000e+02
1.310528544695414784e+18,1.800000000000000000e+01,7.544336790561676025e+04,1.586600000000000000e+04
1.310613106825916416e+18,2.770000000000000000e+02,5.528326962852478027e+04,2.350000000000000000e+02
1.310557812884267008e+18,4.300000000000000000e+01,6.846721520256996155e+04,1.175800000000000000e+04
1.310731541182586880e+18,5.063000000000000000e+03,2.704819352316856384e+04,2.333817200000000000e+07
1.310824125938556928e+18,1.057000000000000000e+04,4.975128177404403687e+03,1.544444700000000000e+07
1.310836954062376960e+18,1.837000000000000000e+03,1.918058593273162842e+03,3.391796900000000000e+07
1.310679428708655104e+18,4.262000000000000000e+03,3.947598726868629456e+04,3.391796900000000000e+07
1.310713413220302848e+18,2.702500000000000000e+04,3.137389697813987732e+04,3.391796900000000000e+07
1.310747382150320128e+18,1.360000000000000000e+03,2.327582121205329895e+04,3.391796900000000000e+07
1.310776313678934016e+18,2.190000000000000000e+02,1.637977406859397888e+04,1.811430000000000000e+05
1.310835402941530112e+18,9.750000000000000000e+02,2.292686514377593994e+03,7.714100000000000000e+04
1.310841063377117184e+18,2.140000000000000000e+02,9.436271080970764160e+02,1.484370000000000000e+05
1.310840737618112512e+18,1.480000000000000000e+02,1.022520299196243286e+03,1.178390000000000000e+05
